stress,strain,T,strainrate,porosity
2714.2429235915424,0.2721,20,500,0
2717.3717035464665,0.2726,20,500,0
2720.5013072097213,0.2731,20,500,0
2723.6317332893395,0.2736,20,500,0
2726.762980497738,0.2741,20,500,0
2729.895047551695,0.2746,20,500,0
2733.0279331723277,0.2751,20,500,0
2736.1616360850694,0.2756,20,500,0
2739.2961550196474,0.2761,20,500,0
2742.43148871006,0.2766,20,500,0
2745.5676358945566,0.2771,20,500,0
2748.7045953156135,0.2776,20,500,0
2751.8423657199114,0.2781,20,500,0
2754.980945858318,0.2786,20,500,0
2758.1203344858627,0.2791,20,500,0
2761.260530361716,0.2796,20,500,0
2764.401532249169,0.2801,20,500,0
2767.543338915613,0.2806,20,500,0
2770.6859491325163,0.2811,20,500,0
2773.8293616754067,0.2816,20,500,0
2776.9735753238488,0.2821,20,500,0
2780.1185888614227,0.2826,20,500,0
2783.2644010757062,0.2831,20,500,0
2786.411010758253,0.2836,20,500,0
2789.558416704573,0.2841,20,500,0
2792.7066177141123,0.2846,20,500,0
2795.855612590235,0.2851,20,500,0
2799.0054001402,0.2856,20,500,0
2802.155979175145,0.2861,20,500,0
2805.307348510065,0.2866,20,500,0
2808.4595069637962,0.2871,20,500,0
2811.612453358991,0.2876,20,500,0
2814.766186522106,0.2881,20,500,0
2817.9207052833767,0.2886,20,500,0
2821.076008476805,0.2891,20,500,0
2824.2320949401346,0.2896,20,500,0
2827.3889635148375,0.2901,20,500,0
2830.5466130460927,0.2906,20,500,0
2833.7050423827677,0.2911,20,500,0
2836.864250377404,0.2916,20,500,0
2840.024235886195,0.2921,20,500,0
2843.1849977689694,0.2926,20,500,0
2846.346534889175,0.2931,20,500,0
2849.5088461138585,0.2936,20,500,0
2852.6719303136506,0.2941,20,500,0
2855.835786362747,0.2946,20,500,0
2859.000413138891,0.2951,20,500,0
2862.165809523357,0.2956,20,500,0
2865.331974400934,0.2961,20,500,0
2868.498906659906,0.2966,20,500,0
2871.666605192039,0.2971,20,500,0
2874.8350688925607,0.2976,20,500,0
2878.0042966601472,0.2981,20,500,0
2881.174287396903,0.2986,20,500,0
2884.345040008348,0.2991,20,500,0
2887.5165534033977,0.2996,20,500,0
2890.6888264943505,0.3001,20,500,0
2893.861858196869,0.3006,20,500,0
2897.0356474299642,0.3011,20,500,0
2900.2101931159823,0.3016,20,500,0
2903.3854941805857,0.3021,20,500,0
2906.5615495527395,0.3026,20,500,0
2909.7383581646927,0.3031,20,500,0
2912.9159189519683,0.3036,20,500,0
2916.0942308533417,0.3041,20,500,0
2919.2732928108303,0.3046,20,500,0
2922.4531037696756,0.3051,20,500,0
2925.633662678328,0.3056,20,500,0
2928.8149684884347,0.3061,20,500,0
2931.9970201548203,0.3066,20,500,0
2935.179816635476,0.3071,20,500,0
2938.3633568915425,0.3076,20,500,0
2941.5476398872966,0.3081,20,500,0
2944.732664590136,0.3086,20,500,0
2947.9184299705657,0.3091,20,500,0
2951.1049350021817,0.3096,20,500,0
2954.292178661659,0.3101,20,500,0
2957.480159928736,0.3106,20,500,0
2960.668877786201,0.3111,20,500,0
2963.858331219878,0.3116,20,500,0
2967.0485192186134,0.3121,20,500,0
2970.2394407742604,0.3126,20,500,0
2973.431094881668,0.3131,20,500,0
2976.623480538664,0.3136,20,500,0
2979.8165967460454,0.3141,20,500,0
2983.0104425075597,0.3146,20,500,0
2986.2050168298983,0.3151,20,500,0
2989.4003187226763,0.3156,20,500,0
2992.596347198424,0.3161,20,500,0
2995.793101272571,0.3166,20,500,0
2998.990579963435,0.3171,20,500,0
3002.188782292207,0.3176,20,500,0
3005.3877072829414,0.3181,20,500,0
